Lake 	Date	Core	uE	Depth.m	Temp.C	T0.O2.mgL	T0.O2.mmolL	Incub.h	Water.Vol.ml	T1.flux	T2.flux	sum.flux
GTH91	19-Jun-06	B10	0	4	12	9.637449939	0.301170311	12.01	173.034	25.71792685	25.28123375	25.51535117
GTH91	19-Jun-06	Y1	0	4	17	8.536681087	0.266771284	12.01	163.9908	27.54923626	11.37610537	20.0467526
GTH91	19-Jun-06	Y8	0	4	17	8.9700837	0.280315116	12.01	160.37352	32.00070806	13.40264891	23.37333493
GTH91	19-Jun-06	Y5	0	4	17	8.479537607	0.26498555	12.01	156.75624	26.82122392	14.95538298	21.31683034
GTH91	19-Jun-06	Y3	0	4	17	8.459535876	0.264360496	12.01	167.60808	27.46993205	10.3739343	19.53934368
GTH91	19-Jun-06	Y7	0	4	17	8.181306833	0.255665839	12.01	167.60808	20.84687135	6.69643829	14.28268823
GTH91	19-Jun-06	Y10	0	4	17	7.762002838	0.242562589	12.01	154.9476	19.58771011	15.29398213	17.59591123
GTH91	19-Jun-06	Y6	0	4	17	8.644885242	0.270152664	12.01	160.37352	20.24548764	12.45608487	16.63209531
GTH91	19-Jun-06	Y4	0	4	17	8.558860369	0.267464387	12.01	154.9476	23.64257784	7.758757312	16.27430111
GTH91	19-Jun-06	Y2	0	4	17	8.413755873	0.262929871	12.01	160.37352	24.57707162	18.51010098	21.76269088
GTH91	19-Jun-06	Y9	0	4	17	7.999722334	0.249991323	12.01	158.56488	25.98105514	14.36800131	20.59392588
GTH91	21-Jun-06	B3	0	4	2	9.452658599	0.295395581	6.92	160.37352	-0.145341591	15.74834971	4.462297445
GTH91	21-Jun-06	B9	0	4	2	9.289632243	0.290301008	6.92	162.18216	13.47587691	14.49104472	13.77017776
GTH91	21-Jun-06	B2	0	4	2	10.46008987	0.326877808	6.92	163.9908	11.58197178	23.6847872	15.09062208
GTH91	21-Jun-06	B4	0	4	2	9.409045069	0.294032658	6.92	163.9908	12.72197144	-0.676200704	8.837792501
GTH91	21-Jun-06	B8	0	4	2	8.927544858	0.278985777	6.92	149.52168	3.745861984	9.108854456	5.300613048
GTH91	21-Jun-06	B10	0	4	2	9.1167599	0.284898747	6.92	167.60808	12.83591164	9.958394146	12.00170883
GTH91	21-Jun-06	B1	0	4	2	9.530937964	0.297841811	6.92	165.79944	10.17384038	18.62333488	12.62337963
GTH91	21-Jun-06	B6	0	4	2	9.431251449	0.294726608	6.92	162.18216	15.21952235	6.552921317	12.70704313
GTH91	21-Jun-06	B7	0	4	2	9.635332524	0.301104141	6.92	165.79944	14.62123519	1.684476414	10.87082167
GTH91	21-Jun-06	B5	0	4	2	8.097239467	0.253038733	6.92	169.41672	10.45383586	13.62202222	11.37230463
GTH91	21-Jun-06	Y5	0	4	9	8.997796182	0.281181131	6.92	163.9908	12.03434752	15.68537329	13.0927932
GTH91	21-Jun-06	Y6	0	4	9	9.193348863	0.287292152	6.92	163.9908	14.86095922	12.80299201	14.26434702
GTH91	21-Jun-06	Y2	0	4	9	8.36125449	0.261289203	6.92	162.18216	17.63822438	8.435698958	14.97037872
GTH91	21-Jun-06	Y7	0	4	9	8.691526047	0.271610189	6.92	165.79944	17.69248803	12.05624759	16.05852138
GTH91	21-Jun-06	Y3	0	4	9	9.6073121	0.300228503	6.92	163.9908	15.63305923	10.52419114	14.15197975
GTH91	21-Jun-06	Y1	0	4	9	7.987437003	0.249607406	6.92	156.75624	16.70468345	10.3167861	14.85280872
GTH91	21-Jun-06	Y8	0	4	9	8.09406713	0.252939598	6.92	163.9908	16.27355569	15.24565725	15.97556419
GTH91	21-Jun-06	Y4	0	4	9	8.812747091	0.275398347	6.92	158.56488	21.97760404	-0.219539131	15.54257133
GTH91	21-Jun-06	Y9	0	4	9	8.226477442	0.25707742	6.92	156.75624	18.12640494	7.729705094	15.11236376
GTH91	21-Jun-06	Y10	0	4	9	8.238469292	0.257452165	6.92	163.9908	11.8186533	14.7357559	12.66433197
S3	8-Aug-06	B2	0	4	12	8.951932801	0.2797479	12.61	136.8612	14.7136267	16.41792955	15.88226503
S3	8-Aug-06	B1	0	4	12	9.085687188	0.283927725	12.61	136.8612	23.77479449	15.15807125	17.86631814
S3	8-Aug-06	B5	0	4	12	9.001727101	0.281303972	12.61	136.8612	32.92793385	14.47238071	20.27298414
S3	8-Aug-06	B7	0	4	12	8.757564787	0.2736739	12.61	136.8612	15.27153942	14.5162376	14.75362991
S3	8-Aug-06	B3	0	4	12	8.575529975	0.267985312	12.61	145.9044	19.18127913	15.37833921	16.57360798
S3	8-Aug-06	B9	0	4	12	9.193956099	0.287311128	12.61	145.9044	21.7528513	15.91035229	17.74665704
S3	8-Aug-06	B4	0	4	12	8.774356143	0.274198629	12.61	136.8612	19.53468354	21.10133626	20.60893535
S3	8-Aug-06	B8	0	4	12	8.230137127	0.257191785	12.61	127.818	16.14900535	15.4800251	15.69028643
S3	8-Aug-06	B6	0	4	12	8.639265668	0.269977052	12.61	145.9044	27.58859909	14.64782045	18.71512336
S3	8-Aug-06	Y3	0	4	17	8.756887624	0.273652738	12.61	145.9044	24.52011202	17.87715969	19.96504791
S3	8-Aug-06	Y1	0	4	17	9.056898416	0.283028076	12.61	136.8612	26.97320671	16.55499021	19.82944869
S3	8-Aug-06	Y9	0	4	17	8.003161003	0.250098781	12.61	136.8612	24.90986419	19.65149482	21.30420689
S3	8-Aug-06	Y2	0	4	17	7.883400418	0.246356263	12.61	136.8612	19.20757758	20.82757977	20.31841105
S3	8-Aug-06	Y6	0	4	17	8.425490886	0.26329659	12.61	136.8612	26.6162336	15.33708823	18.88213772
S3	8-Aug-06	Y4	0	4	17	7.803806185	0.243868943	12.61	136.8612	31.01317124	13.2299208	18.81921865
S3	8-Aug-06	Y8	0	4	17	8.481295783	0.265040493	12.61	136.8612	33.50481236	16.23285205	21.66145078
S3	8-Aug-06	Y5	0	4	17	7.717285023	0.241165157	12.61	136.8612	40.2820282	14.78493656	22.79870435
S3	8-Aug-06	Y7	0	4	17	7.937620851	0.248050652	12.61	145.9044	36.94013991	16.20919999	22.72496034
S3	11-Aug-06	Y7	0	4	8	8.73456065	0.27295502	11.85	145.9044	5.976077525	20.00665154	15.10635222
S3	11-Aug-06	Y6	0	4	8	10.06163291	0.314426029	11.85	136.8612	22.00650493	13.92414282	16.74697769
S3	11-Aug-06	Y8	0	4	8	9.176461933	0.286764435	11.85	136.8612	14.42999497	10.83459856	12.09032185
S3	11-Aug-06	Y4	0	4	8	8.966425883	0.280200809	11.85	145.9044	19.32705121	14.117217	15.93679666
S3	11-Aug-06	Y1	0	4	8	9.243924328	0.288872635	11.85	145.9044	21.91415961	11.67493498	15.25107274
S3	11-Aug-06	Y3	0	4	8	9.501798674	0.296931209	11.85	136.8612	16.9271582	17.72494171	17.44630892
